epoch,train_loss,validation_loss
1,2.61212110777159,2.176150742031279
2,2.113717503161044,2.0292133944375172
3,1.9870225745278436,1.9480040413992745
4,1.9096216375763353,1.8887064513706027
5,1.8507565942970483,1.8871351764315651
6,1.8241268544583706,1.8414968252182007
7,1.7888674671585496,1.8133425882884435
8,1.7709913691958865,1.8169035968326388
9,1.7500479427543847,1.8016404878525507
10,1.7438613356770696,1.8113531158083962
11,1.7192454737585945,1.803949236869812
12,1.7204088069297172,1.8201345545904977
13,1.7003650948808,1.7855438504900252
14,1.6853780926884832,1.8069557462419783
15,1.6741283358754337,1.7608278024764288
16,1.6593335022797455,1.7907801923297701
17,1.641568973257735,1.7665859006700062
18,1.6254375451319927,1.7573241279238747
19,1.6212320443746207,1.7884551627295358
20,1.607270894179473,1.7649857146399361
21,1.5834613400536615,1.7988987082526797
22,1.5846980178678358,1.7582026720046997
23,1.5762675143576956,1.7938740991410755
24,1.5580939073820372,1.777716835339864
25,1.5272952698372506,1.7900577783584595
26,1.497355310981338,1.808603354862758
27,1.5034286911423143,1.7701160567147392
28,1.4941195024026406,1.788025907107762
