epoch,train_loss,validation_loss
1,2.153020478184893,1.9453181197158003
2,1.9688393472454169,1.8901785453863904
3,1.9192621284008964,1.8590083744673602
4,1.880223417563148,1.7978247804979308
5,1.849335942614992,1.7743602421431415
6,1.8273660059293735,1.7588003472944276
7,1.803037586755509,1.7448710804491971
8,1.7688010935699072,1.7173434538123882
9,1.7573920015267632,1.716190765389299
10,1.7395420355506401,1.6761304488224267
11,1.723694522863287,1.657956334341944
12,1.7063466992031615,1.646251640488616
13,1.689673884444246,1.6579109282620186
14,1.6772435994888335,1.587852639434612
15,1.664655051437483,1.6227707324829777
16,1.651198750160532,1.5910464293133897
17,1.6443250230815416,1.6063072945164367
18,1.6267261022668924,1.5440735637614158
19,1.6127213024203106,1.5614291767103483
20,1.6008497942641582,1.5860412563897868
21,1.5942292492141423,1.5367695209199348
22,1.585086467926535,1.539960819008076
23,1.5667624792087758,1.5093292092854997
24,1.5550599824234639,1.48690611493271
25,1.5494396555400316,1.4928139184428528
26,1.5426314071494143,1.4670764017949063
27,1.5307721585796483,1.4830631766699056
28,1.5254245603014303,1.4609001779978255
29,1.521188373415784,1.4539835305340523
30,1.512159432315639,1.4450164010039472
31,1.506863431049939,1.4634209459861822
32,1.4965799171001832,1.4358520929792287
33,1.4875222716209697,1.4355752046129344
34,1.478331834956096,1.4235284486703113
35,1.4684684110296733,1.4322742656268905
36,1.4645727598831086,1.4047041930983553
37,1.449988695399466,1.4262782187588448
38,1.446991921642206,1.4027645092094894
39,1.4360463490420567,1.4050060626679817
40,1.4299777259058475,1.3750592575664013
41,1.424217932819149,1.395463484578428
42,1.4183962150734861,1.379668089140833
43,1.4153379482932549,1.3948190233348745
44,1.4121872514544864,1.3699124028197431
45,1.4011869446936196,1.3564092089644575
46,1.3947624701179548,1.3611023320560962
47,1.3892679701619626,1.3534210783190432
48,1.379618671881895,1.34486444861488
49,1.3772367100818685,1.3451174761341735
50,1.3661772954206335,1.3233619453632726
