epoch,train_loss,validation_loss
1,3.499903037097003,2.879693031311035
2,2.6621914025899525,2.475346565246582
3,2.4109038082329004,2.3792169094085693
4,2.3179663091092495,2.301856517791748
5,2.242222395458737,2.2178070545196533
6,2.1589049042882147,2.1413185596466064
7,2.0792729467959017,2.066786527633667
8,2.0079036261584307,1.998560905456543
9,1.9353118245666092,1.9306589365005493
10,1.8622819372125574,1.8704347610473633
11,1.7969315515982138,1.8202978372573853
12,1.7370611674076801,1.7738524675369263
13,1.687875136813602,1.7393995523452759
14,1.644854354214024,1.7052158117294312
15,1.6092047813776378,1.683548927307129
16,1.5751354861903835,1.6545681953430176
17,1.542275238681484,1.6391077041625977
18,1.5118510613570342,1.6129249334335327
19,1.4818157859750696,1.5976170301437378
20,1.4547572019937876,1.5749715566635132
21,1.4273416847796054,1.5636554956436157
22,1.4112905193019558,1.5504587888717651
23,1.3872476551983808,1.5427699089050293
24,1.3600370059142242,1.5196795463562012
25,1.3331546545028687,1.5167498588562012
26,1.3148901417448713,1.498703956604004
27,1.2906215074900034,1.4847718477249146
28,1.2668259588447777,1.4796080589294434
29,1.2491692601023494,1.471714735031128
30,1.2313753662882625,1.4664911031723022
31,1.2085819386147163,1.4638140201568604
32,1.1911948320027945,1.449390172958374
33,1.168692153853339,1.4613302946090698
34,1.1504359825237378,1.4428293704986572
35,1.1298596117947552,1.4458657503128052
36,1.1148966563714517,1.456947922706604
37,1.0910356740693787,1.4439971446990967
38,1.0735047772124007,1.4629825353622437
39,1.0584039266045029,1.4472054243087769
40,1.0375456146291784,1.459397315979004
41,1.0172652273564726,1.4503309726715088
42,1.0035857065303906,1.4600054025650024
43,0.9957244989034292,1.4626768827438354
44,0.9875980125891196,1.4663803577423096
