epoch,train_loss,validation_loss
1,2.426922773799634,1.9857897252108143
2,1.8283680672729883,1.6782234295279579
3,1.6329464835127585,1.5387631095616163
4,1.5239262735445513,1.454846304074853
5,1.4497341353204722,1.403121779450273
6,1.3928515726081983,1.3497878608450424
7,1.3491052656136233,1.3168956505513825
8,1.3125914845813234,1.3098390028540012
9,1.2814221061283104,1.270703140613252
10,1.2511041061348906,1.244451308672407
11,1.2238904577341436,1.2201402535480736
12,1.1980906130054376,1.207826834864321
13,1.1727489891127192,1.197875842583918
14,1.1489491277687207,1.1793061463178787
15,1.1266079726528324,1.1576401680971669
16,1.104938453213405,1.1554639444941968
17,1.0875729032021844,1.1431661696560615
18,1.069204600948716,1.1283095442088305
19,1.0556888416380217,1.1288497954343273
20,1.0366362109633935,1.108823873300468
21,1.0239941954378529,1.1061974057054098
22,1.0111911509969145,1.1043522558381071
23,0.9988069063553876,1.0908631360636347
24,0.9829237468116175,1.0854006457117806
25,0.9710659943301457,1.084270280019372
26,0.962820485907594,1.1028557087467834
27,0.9477675203490117,1.0795555958705665
28,0.9380683814612728,1.0721679356245868
29,0.9252112142463564,1.083231321478312
30,0.9152752509988361,1.0717994312269499
31,0.9013468870245404,1.0679023255289128
32,0.8977070613553809,1.0632141817987493
33,0.8827729556555832,1.065656036402272
34,0.8736286282773571,1.0633482753703025
35,0.8648667603672605,1.0857327227043894
36,0.8497529594275244,1.084330559831805
37,0.8398076449255578,1.0580733033408105
38,0.8326167349496852,1.0548223668495111
39,0.8240285411564915,1.087553389304507
40,0.8095478906144328,1.0561798800409368
41,0.8011241928767596,1.0748027320456717
42,0.7975897578218831,1.0720754787985203
43,0.7842548243657544,1.064196469509496
44,0.779232108991132,1.0575832708746986
45,0.7501059359557971,1.0454479540343833
46,0.7380114257452765,1.0482252509193082
47,0.72891735421651,1.0555414784271104
48,0.7236850560296963,1.0542354831653358
49,0.7184126057418718,1.0550928664418449
50,0.7138619955724256,1.0580574648570171
